,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,Enhedslisten,4248,756,344,75,57,10,5,5004,Enhedslisten
2,parti,2116,439,176,33,64,13,5,2555,Enhedslisten
3,mast,75,10,27,1,75,10,27,85,Enhedslisten
4,landbrugsaftalens,75,10,27,1,75,10,27,85,Enhedslisten
5,vigtig,862,158,96,28,31,6,3,1020,Enhedslisten
6,målsætning,145,19,32,2,72,10,16,164,Enhedslisten
7,grøn,1724,332,184,40,43,8,5,2056,Enhedslisten
8,vagthund,185,24,36,3,62,8,12,209,Enhedslisten
9,bord,214,46,37,2,107,23,18,260,Enhedslisten
10,kamp,526,96,76,13,40,7,6,622,Enhedslisten
11,omstilling,1017,202,106,21,48,10,5,1219,Enhedslisten
12,landbrug,406,65,41,5,81,13,8,471,Enhedslisten
13,rest,375,69,58,7,54,10,8,444,Enhedslisten
14,Danmark,3205,636,327,61,53,10,5,3841,Enhedslisten
15,dkgreen,1978,406,141,45,44,9,3,2384,Enhedslisten
16,Uanset,68,15,5,3,23,5,2,83,Enhedslisten
17,forældre,249,46,19,5,50,9,4,295,Enhedslisten
18,atomfysiker,28,4,1,1,28,4,1,32,Enhedslisten
19,pædagog,558,63,61,7,80,9,9,621,Enhedslisten
20,rette,977,204,106,20,49,10,5,1181,Enhedslisten
21,uddannelse,330,58,26,11,30,5,2,388,Enhedslisten
22,uddannelsessystem,28,4,1,1,28,4,1,32,Enhedslisten
23,udspil,287,64,21,10,29,6,2,351,Enhedslisten
24,https://t.co/u5CsOKE4eg,28,4,1,1,28,4,1,32,Enhedslisten
25,Alle,713,160,62,11,65,15,6,873,Enhedslisten
26,unge,407,80,40,13,31,6,3,487,Enhedslisten
27,sundhed,387,86,40,6,64,14,7,473,Enhedslisten
28,mangen,1951,437,216,51,38,9,4,2388,Enhedslisten
29,penge,1890,400,129,28,68,14,5,2290,Enhedslisten
30,https://t.co/7eZitMsATd,33,10,4,1,33,10,4,43,Enhedslisten
31,tryg,102,20,11,6,17,3,2,122,Enhedslisten
32,økonomi,302,73,44,7,43,10,6,375,Enhedslisten
33,Unge,17,5,3,1,17,5,3,22,Enhedslisten
34,økonomisk,937,373,91,16,59,23,6,1310,Enhedslisten
35,ramme,181,36,14,4,45,9,4,217,Enhedslisten
36,liv,556,106,45,12,46,9,4,662,Enhedslisten
37,fremtid,171,49,10,6,28,8,2,220,Enhedslisten
38,baggrund,98,21,9,5,20,4,2,119,Enhedslisten
39,https://t.co/lq7zVqkuSl,17,5,3,1,17,5,3,22,Enhedslisten
40,uafhængig,32,6,5,1,32,6,5,38,Enhedslisten
41,https://t.co/G6J1hZAPhA,32,6,5,1,32,6,5,38,Enhedslisten
42,https://t.co/eQ74YhTVLA,32,6,5,1,32,6,5,38,Enhedslisten
43,dag,4957,1004,442,107,46,9,4,5961,Enhedslisten
44,klokke,104,30,9,4,26,8,2,134,Enhedslisten
45,ungeudspil,28,6,2,1,28,6,2,34,Enhedslisten
46,live,89,33,10,10,9,3,1,122,Enhedslisten
47,Facebook-side,28,6,2,1,28,6,2,34,Enhedslisten
48,https://t.co/NEWRO5mJwD,28,6,2,1,28,6,2,34,Enhedslisten
49,Jeppe,20,4,3,1,20,4,3,24,Enhedslisten
50,Kofod,20,4,3,1,20,4,3,24,Enhedslisten
51,regering,2153,524,241,53,41,10,5,2677,Enhedslisten
52,dansk,1265,232,130,20,63,12,6,1497,Enhedslisten
53,barn,1634,395,172,38,43,10,5,2029,Enhedslisten
54,stikke,142,28,17,3,47,9,6,170,Enhedslisten
55,gave,45,15,8,3,15,5,3,60,Enhedslisten
56,samråd,595,162,47,19,31,9,2,757,Enhedslisten
57,kl.,175,26,12,6,29,4,2,201,Enhedslisten
58,https://t.co/rPvYLO158C,20,4,3,1,20,4,3,24,Enhedslisten
59,kvinde,66,6,20,1,66,6,20,72,Enhedslisten
60,fangelejr,261,30,54,3,87,10,18,291,Enhedslisten
61,Syrien,298,32,60,3,99,11,20,330,Enhedslisten
62,https://t.co/0k7TJrUEo4,66,6,20,1,66,6,20,72,Enhedslisten
63,Jette,77,18,4,2,38,9,2,95,Enhedslisten
64,Gottlieb,77,18,4,2,38,9,2,95,Enhedslisten
65,ydelsesforhandlinger,31,5,3,1,31,5,3,36,Enhedslisten
66,fokus,245,52,26,6,41,9,4,297,Enhedslisten
67,børnefattigdom,31,5,3,1,31,5,3,36,Enhedslisten
68,afklaringsgaranti,78,19,7,2,39,10,4,97,Enhedslisten
69,folk,541,146,40,13,42,11,3,687,Enhedslisten
70,system,59,19,6,2,30,10,3,78,Enhedslisten
71,kontanthjælp,121,37,9,3,40,12,3,158,Enhedslisten
72,førtidspension,85,25,5,2,42,12,2,110,Enhedslisten
73,krav,853,262,73,13,66,20,6,1115,Enhedslisten
74,https://t.co/M04deXG8Lg,31,5,3,1,31,5,3,36,Enhedslisten
75,krig,88,23,8,2,44,12,4,111,Enhedslisten
76,alvorlig,166,45,24,4,42,11,6,211,Enhedslisten
77,beslutning,180,46,23,4,45,12,6,226,Enhedslisten
