,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,Mette,7183,1504,3159,117,61,13,27,8687,Venstre
2,Frederiksen,5637,1162,2461,93,61,12,26,6799,Venstre
3,gammeldags,64,7,6,1,64,7,6,71,Venstre
4,regning,783,123,181,9,87,14,20,906,Venstre
5,uenig,167,14,13,3,56,5,4,181,Venstre
6,penge,1852,343,655,44,42,8,15,2195,Venstre
7,dansk,6012,923,1202,114,53,8,11,6935,Venstre
8,økonomi,1536,213,273,23,67,9,12,1749,Venstre
9,råd,438,103,82,12,36,9,7,541,Venstre
10,velfærd,2329,502,729,53,44,9,14,2831,Venstre
11,grøn,4360,745,845,108,40,7,8,5105,Venstre
12,omstilling,2215,332,366,47,47,7,8,2547,Venstre
13,jobskabelse,592,95,102,9,66,11,11,687,Venstre
14,ansvarlig,1503,225,270,28,54,8,10,1728,Venstre
15,ftlive,934,140,131,29,32,5,5,1074,Venstre
16,Pengene,44,10,4,1,44,10,4,54,Venstre
17,Tak,3316,452,319,66,50,7,5,3768,Venstre
18,kæmpe,704,112,78,13,54,9,6,816,Venstre
19,borgerlig,457,59,96,8,57,7,12,516,Venstre
20,parti,3069,402,727,52,59,8,14,3471,Venstre
21,bred,339,49,51,11,31,4,5,388,Venstre
22,ambitiøs,775,134,206,18,43,7,11,909,Venstre
23,klimaaftale,126,8,9,3,42,3,3,134,Venstre
24,Danmark,16383,2585,3681,321,51,8,11,18968,Venstre
25,landbrug,336,37,40,7,48,5,6,373,Venstre
26,fødevareerhverv,165,15,12,4,41,4,3,180,Venstre
27,stolt,520,87,94,14,37,6,7,607,Venstre
28,fødevare,56,5,8,2,28,2,4,61,Venstre
29,verden,1868,262,258,38,49,7,7,2130,Venstre
30,mål,617,96,102,18,34,5,6,713,Venstre
31,regering,8065,1157,1844,135,60,9,14,9222,Venstre
32,villig,56,7,8,1,56,7,8,63,Venstre
33,job,902,177,143,18,50,10,8,1079,Venstre
34,udland,526,76,51,9,58,8,6,602,Venstre
35,Danskerne,532,54,79,9,59,6,9,586,Venstre
36,S-regeringens,441,43,64,4,110,11,16,484,Venstre
